iter	Logloss
0	0.6900409938
50	0.5560714044
100	0.4587492061
150	0.3885592999
200	0.3375551582
250	0.3003396775
300	0.2729715014
350	0.252742526
400	0.2369101747
450	0.2246450749
500	0.2152155859
550	0.2077295535
600	0.2018819611
650	0.1970919943
700	0.1932576498
750	0.1899320779
800	0.1872013711
850	0.1850236865
900	0.1831772084
950	0.1815076538
1000	0.1801183274
1050	0.1788939681
1100	0.1779136061
1150	0.1770096252
1200	0.1761688307
1250	0.1754305273
1300	0.1747527726
1350	0.1741469573
1400	0.1735744699
1450	0.173028602
1500	0.1725180334
1550	0.1720411819
1600	0.1715897846
1650	0.1711680975
1700	0.1707560689
1750	0.17035658
1800	0.1699620721
1850	0.1695771017
1900	0.1692142768
1950	0.1688856304
2000	0.1685495619
2050	0.1681868961
2100	0.1678700444
2150	0.1675514845
2200	0.1672288207
2250	0.1669178193
2300	0.1666231503
2350	0.1663204364
2400	0.1660094141
2450	0.1657169718
2500	0.1654368264
2550	0.1651518285
2600	0.1648756032
2650	0.1645848686
2700	0.1643160172
2750	0.1640320472
2800	0.1637717504
2850	0.1635227551
2900	0.1632828151
2950	0.1630291043
3000	0.1627806627
3050	0.1625335419
3100	0.1622926323
3150	0.1620393732
3200	0.1617939308
3250	0.1615551076
3300	0.1613118012
3350	0.1610763613
3400	0.1608427847
3450	0.1606180999
3500	0.1603823637
3550	0.1601464527
3600	0.1599000694
3650	0.1596734865
3700	0.1594702103
3750	0.1592132507
3800	0.1590051823
3850	0.1587823007
3900	0.1585679142
3950	0.1583695431
4000	0.1581592203
4050	0.1579488502
4100	0.1577408707
4150	0.1575039591
4200	0.1572800059
4250	0.1570681364
4300	0.1568567257
4350	0.1566702439
4400	0.1564782426
4450	0.1562636292
4500	0.1560398455
4550	0.1558340393
4600	0.155618468
4650	0.155397556
4700	0.1551972597
4750	0.1549955579
4800	0.154793981
4850	0.1545993867
4900	0.1543753857
4950	0.1541656764
5000	0.1539802621
5050	0.1537687744
5100	0.1535603976
5150	0.1533612991
5200	0.1531532863
5250	0.1529387764
5300	0.1527358619
5350	0.1525181172
5400	0.1523118102
5450	0.1521101619
5500	0.1519121585
5550	0.1517124888
5600	0.1515113982
5650	0.1513201174
5700	0.1511273355
5750	0.1509195096
5800	0.150722739
5850	0.1505375966
5900	0.1503532371
5950	0.1501580284
6000	0.1499683573
6050	0.1497736325
6100	0.1495915116
6150	0.1493903252
6200	0.1491989337
6250	0.1490103266
6300	0.148838248
6350	0.1486620249
6400	0.1484778689
6450	0.148288436
6500	0.1481090223
6550	0.1479250966
6600	0.1477491437
6650	0.1475655104
6700	0.1473792979
6750	0.1471924722
6800	0.1469948687
6850	0.1468186627
6900	0.1466209433
6950	0.1464362609
7000	0.1462437844
7050	0.1460624732
7100	0.1458868541
7150	0.1457129715
7200	0.1455516495
7250	0.14538112
7300	0.1452125597
7350	0.1450455883
7400	0.1448947105
7450	0.1447332394
7500	0.1445697904
7550	0.1443878413
7600	0.1442214127
7650	0.1440568706
7700	0.1438779696
7750	0.1437218363
7800	0.1435422461
7850	0.1433569959
7900	0.1431902209
7950	0.1430340936
8000	0.142868551
8050	0.142695186
8100	0.1425334165
8150	0.1423621673
8200	0.1422037543
8250	0.1420208877
8300	0.1418381556
8350	0.1416649048
8400	0.1414930869
8450	0.1413113264
8500	0.1411388717
8550	0.140977931
8600	0.1407934907
8650	0.1406034355
8700	0.1404232738
8750	0.1402427849
8800	0.1400675756
8850	0.1398920578
8900	0.1397278163
8950	0.1395465574
9000	0.1393761426
9050	0.1392041862
9100	0.13903555
9150	0.1388677875
9200	0.1387055932
9250	0.1385431774
9300	0.1383684989
9350	0.1382041023
9400	0.1380222804
9450	0.1378508139
9500	0.1376873732
9550	0.1375271343
9600	0.1373564183
9650	0.1371843483
9700	0.1370332306
9750	0.1368619781
9800	0.1367128465
9850	0.1365616977
9900	0.1364232825
9950	0.1362540208
9999	0.1361147228
